
[Floor 1, Turn 0] Adventure begins! test_player sets out with Luna the Drake.
[Floor 1, Turn 0] Adventure begins! test_player sets out with Luna the Drake.
[Floor 1, Turn 0] Adventure begins! Hero sets out with Luna the Drake.
[Floor 1, Turn 0] Adventure begins! Hero sets out with Luna the Drake.
[Floor 1, Turn 0] Adventure begins! Hero sets out with Luna the Drake.
[Floor 1, Turn 0] Adventure begins! Hero sets out with Luna the Drake.
[Floor 1, Turn 0] Adventure begins! Hero sets out with Luna the Drake.
[Floor 1, Turn 0] Adventure begins! MAria sets out with Jeff the Golem.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Blaze the Drake.
[Floor 1, Turn 0] Adventure begins! Hero sets out with Rocky the Golem.
[Floor 2, Turn 5] Fell in battle...
[Floor 1, Turn 0] Adventure begins! Maria sets out with Mow the Kitsune.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! Hero sets out with Luna the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! Hero sets out with Luna the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! Hero sets out with Luna the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! Maria sets out with Kizzo the Kitsune.
[Floor 1, Turn 0] Adventure begins! Maria sets out with jeff the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
[Floor 1, Turn 0] Adventure begins! TestHero sets out with Buddy the Drake.
